gacoan_name,name,rating,review
Mie Gacoan Semarang,Makiya Naura,5.0,"It's comfortable place to eat noodle. I ordered Mie Iblis lv.1. It's not spicy for me who dislike spicy. I can taste the sweet as well. Next I have to repeat order for this menu again. I really like the shrimp cheese for dimsum. For beverage, I ordered lemon tea. It's not bad but just so so. I think I've to try other beverages. Then surprisingly the price is cheap for me. Here will be my favorite place to eat or just hangout. When I came, it's pretty crowded but i didn't need wait in line for a long time. the cassier and the serving of the food are satisfying. Wait for my other coming. :)"
Mie Gacoan Semarang,itz3ca,5.0,too many people so crowded but the food really worth to buy!! I LOVE MIE IBLIS ❤️‍🔥❤️‍🔥❤️‍🔥Food: 5/5 | Service: 4/5 | Atmosphere: 4/5Recommended dishes Mie Seyan Dan Mie Iblis …More
Mie Gacoan Semarang,Siti Mutmainah,4.0,"spacious parking, friendly service, good food, unfortunately the table is not cleaned immediately after the customer leaves so new customers have to clean it first"
Mie Gacoan Semarang,petricia pm,3.0,"Good place, I don't really like the service, the food's taste is average."
Mie Gacoan Semarang,siti iza,4.0,The noodle one of the Gacoan menu the taste was so delicious beside of the taste was so delicious the price was so cheap.Waitres serve was friendly.But I waited my food was length enough
Mie Gacoan Semarang,Stainley McFord,2.0,"1. The table is not spacious and not much, you still have to wait for an empty table for about half an hour before you can sit , and even then you have to fight with other customers 2. The food is oily 3. On the orange juice menu, what came was ""Nutrisari"" a kinda orange-flavored drink powder"
Mie Gacoan Semarang,__Y. Jun__ L.,2.0,"the taste of the food are not so good. I'm a fans of noodles sadly this one doesn't reach my expectations. but if you want to have a place to hangout with a group of friends this place can be one of the recommended list. spacious parking lot, good ambiance. if you have a good friends to hangout to then the taste of food doesn't really matter."
Mie Gacoan Semarang,Raden Bambang Suriadi,5.0,"This place very crowd! The place is very big but many people come to here to dine in. I suggested to take away. If you want to dine in, you must take a table first before put your order. The price is relatively cheap. For the taste, I can't give any review."
Mie Gacoan Semarang,Ananta Kanoko,5.0,"This business has a good potential to be very successful. The food option is not small. There's plenty of beverage option, and the uniques one such as Es Pocong or Es Genderuwo is quite refreshing. The price is definitely affordable. Unfortunately, there's no Mi Kuah or Noodle with soup/broth here, only fried (goreng) noodles. The appetizer is very appetizing, delicious, and worth the price. My favourite is Mi Angel with Udang Keju (Angel noodles with cheese-filled and breaded shrimp meatballs). The service is excellent, very friendly, and quite fast. Unfortunately, even before the opening time, people are already there, queuing. So chances are, the queue line is already long by the time you get there. That's how successful this noodle joint are right now. Oh, not to mention there's a parking fee. TL;DR Decent food, worth the price, excellent service. Recommended? Yes"
Mie Gacoan Semarang,Dewa Arjuna,3.0,Cashier didn't get my order correctly even though my writing is considerably good. Also next time drink comes before food.
Mie Gacoan Semarang,Joseph Ferdinand,5.0,Nice place and has lots of options menu. Recommended : mie setan and udang keju!!
Mie Gacoan Semarang,Eva Crystalia,4.0,Crowded but cozy with large parking lot. It's a half outdoor half indoor kind of restaurant. Noodle is the main dish. Low prices.
Mie Gacoan Semarang,HORCRUX RELIKUI,5.0,One of the best noodle restaurant Hope will get halal certified soon And the price still be the same Parking: 2000
Mie Gacoan Semarang,Fany C,4.0,"A fairly crowded place that serves noodle dishes and various dimsums. I ordered noodles, but the taste just tends to be spicy, too much oil, the taste is so-so. But for the dimsum it's quite good."
Mie Gacoan Semarang,Akma Ikasari,3.0,Ordered this via grab. The udang keju ke cheesy deep fried shrimp is definitely my favorite. The noodles are not that great and I think it's a little overhyped but it's not bad either. So yeah. Average.
Mie Gacoan Semarang,Trifena Erny,4.0,"Honest review, the price is cheap and the taste is so so but the place is good to chill with friends or family."
Mie Gacoan Semarang,Ricka Akhlilia,5.0,It is a nice place to eat noodle and dimsum...But the line is so long and you need to wait for several times..
Mie Gacoan Semarang,Latifatul Khoiriah,5.0,"Such a good place and food for lunch or dinner, but too many people so crowded, but must visit it's recommended restaurant, I'm pretty sure you would like it too"
Mie Gacoan Semarang,Retno Ambar Wati,5.0,"cozy place, instagramable, the food is delicious and the price is affordable..."
Mie Gacoan Semarang,Mugi mlyni,5.0,recommendations to restore a bad mood🧚🏻‍♀️
Mie Gacoan Semarang,Ananta Sambega Bintang,5.0,"Nice food and stuffs. The cozy feelings and spaciousness of this place is a plus. It may be crowded on the cashier, but that does not diminish the comfort feeling on this place. Also they provide designated waiting area for online ojek drivers for them to wait for their order."
Mie Gacoan Semarang,Fikab Chan,5.0,"delicious food, good service, beautiful wife"
Mie Gacoan Semarang,rossiana annisa,4.0,"Tried their chicken and cheese shrimp dimsum, they're all yummy. But the noodles are so so."
Mie Gacoan Semarang,Dian Puji Pertiwi,5.0,"Good, recommended"
Mie Gacoan Semarang,abdurrohman nugroho,3.0,"Mie gacoan is a favorite place to eat for most people. People can enjoy delicious and cheap noodles. But it's a shame if you want to eat there you have to have extra patience, because the queues are long and sometimes the food comes first and the drinks come when our food is finished. It's better to bring drinks first than food so that visitors don't interfere with their meal"
Mie Gacoan Semarang,Bayu Aji,3.0,It's cheap. Place is big and parking is also spacious. I might have visited on one of their worst days because it was very crowded and so the service was awfully slow. The noodle dishes we ordered served cold. Well you can imagine cold oily noodle. We also ordered dimsum that I thought would at least be served warm. However it was also cold. Several things could be improved including how they deliver the food to customers using a numbered signage. I found the waiters walk around me looking confused several times for not finding the number they were looking for. They were definitely overwhelmed by the crowded visitors. The place is definitely aiming for those teenagers/students looking for a place to hang out. I don't think i'll be back unless somebody asks to meet there.
Mie Gacoan Semarang,bagus wahyu,5.0,"If you eat in here, you must exstra patient"
